t,metric
0,1.01
1,0.99
2,1.00
3,1.02
4,0.98
5,1.01
6,0.99
7,1.00
8,1.01
9,1.00
10,1.02
11,1.01
12,0.99
13,1.00
14,1.01
15,1.00
16,1.02
17,1.01
18,1.00
19,0.99
20,1.01
21,1.00
22,1.02
23,1.03
24,1.01
25,1.02
26,1.00
27,1.01
28,1.00
29,1.02
30,1.01
31,1.00
32,1.01
33,1.02
34,1.01
35,1.02
36,1.00
37,1.01
38,1.00
39,1.02
40,1.01
41,1.03
42,1.05
43,1.07
44,1.10
45,1.12
46,1.15
47,1.18
48,1.22
49,1.27
50,1.31
51,1.36
52,1.42
53,1.48
54,1.55
55,1.63
56,1.72
57,1.82
58,1.93
59,2.05
60,2.18
61,2.32
62,2.47
63,2.63
64,2.80
65,2.98
66,3.17
67,3.37
68,3.58
69,3.80
