t,metric,dsdt,adaptive_threshold,spike_candidate,persistence,deviation,slope,recovery_lag,gv_signal,warning
0,1.01,0.0,0.006600000000000001,0,0.0,0.0,0.0,0.0,0.0,0
1,0.99,-0.020000000000000018,0.006600000000000001,0,0.0,0.0,0.0,0.0,0.0,0
2,1.0,0.010000000000000009,0.006600000000000001,1,0.3333333333333333,0.0,-0.004999999999999787,0.0,0.26,0
3,1.02,0.020000000000000018,0.006600000000000001,1,0.5,0.0,0.004000000000000011,0.0,0.3720000000000002,0
4,0.98,-0.040000000000000036,0.07183440000000006,0,0.4,0.020000000000000018,-0.0030000000000001566,0.0,0.11100000000000002,0
5,1.01,0.030000000000000027,0.07683440000000007,0,0.3333333333333333,0.008333333333333304,-0.0002857142857143093,0.0,0.08624999999999997,0
6,0.99,-0.020000000000000018,0.07183440000000006,0,0.2857142857142857,0.010000000000000009,-0.0014285714285713132,0.0,0.07607142857142857,0
7,1.0,0.010000000000000009,0.07683440000000007,0,0.25,0.0,-0.0009523809523809552,0.0,0.06,0
8,1.01,0.010000000000000009,0.08183440000000007,0,0.2222222222222222,0.008888888888888946,5.132132245270598e-17,0.0,0.06000000000000096,0
9,1.0,-0.010000000000000009,0.06868010000000005,0,0.2,0.0009999999999998899,-6.060606060606396e-05,0.0,0.04874999999999992,0
10,1.02,0.020000000000000018,0.06552580000000005,0,0.18181818181818182,0.01727272727272733,0.0015757575757576183,0.0,0.08495454545454625,0
11,1.01,-0.010000000000000009,0.060525800000000046,0,0.16666666666666666,0.006666666666666821,0.0012121212121212358,0.0,0.06681818181818236,0
12,0.99,-0.020000000000000018,0.05552580000000004,0,0.15384615384615385,0.012307692307692353,0.00018181818181817037,0.0,0.04942657342657326,0
13,1.0,0.010000000000000009,0.060525800000000046,0,0.14285714285714285,0.002142857142857002,0.0011515151515151412,0.0,0.05662012987012957,0
14,1.01,0.010000000000000009,0.06552580000000005,0,0.13333333333333333,0.007333333333333414,0.00024242424242424993,0.0,0.04186363636363656,0
15,1.0,-0.010000000000000009,0.060525800000000046,0,0.125,0.0024999999999999467,0.0004242424242424215,0.0,0.039511363636363546,0
